kickoff,home_team,away_team,n_bookmakers,book_home_%,book_draw_%,book_away_%,poly_home_%,poly_draw_%,poly_away_%,poly_moneyline_source,consensus_home_%,consensus_draw_%,consensus_away_%,consensus_sources,scoreline_source,score_1st,score_1st_%,score_2nd,score_2nd_%,score_3rd,score_3rd_%,score_4th,score_4th_%,score_5th,score_5th_%
2026-06-11 19:00 UTC,Mexico,South Africa,56,67.8,21.2,11.0,69.2,20.4,10.4,match,68.2,21.0,10.8,"bookmakers, polymarket_match",polymarket,1 - 0,17.9,2 - 0,16.4,2 - 1,11.1,1 - 1,10.1,0 - 0,8.7
2026-06-12 02:00 UTC,South Korea,Czech Republic,53,36.1,30.4,33.5,35.3,31.3,33.3,match,35.9,30.7,33.5,"bookmakers, polymarket_match",polymarket,1 - 1,15.9,1 - 0,12.8,0 - 1,11.8,0 - 0,10.4,2 - 1,9.7
2026-06-12 19:00 UTC,Canada,Bosnia & Herzegovina,53,52.9,26.3,20.8,53.2,26.4,20.4,match,53.0,26.3,20.7,"bookmakers, polymarket_match",polymarket,1 - 0,14.9,2 - 0,12.1,1 - 1,11.6,2 - 1,11.0,0 - 1,10.5
2026-06-13 01:00 UTC,USA,Paraguay,53,48.2,27.9,23.9,48.8,28.1,23.2,match,48.3,28.0,23.7,"bookmakers, polymarket_match",polymarket,1 - 0,14.0,1 - 1,12.0,0 - 0,10.6,2 - 0,10.6,2 - 1,10.6
2026-06-13 19:00 UTC,Qatar,Switzerland,53,7.2,15.0,77.8,6.4,13.6,80.0,match,7.0,14.6,78.5,"bookmakers, polymarket_match",polymarket,0 - 2,18.3,0 - 3,14.6,0 - 1,13.6,1 - 2,9.9,0 - 0,6.1
2026-06-13 22:00 UTC,Brazil,Morocco,53,57.5,24.9,17.5,58.2,24.4,17.4,match,57.7,24.8,17.5,"bookmakers, polymarket_match",polymarket,1 - 0,13.7,2 - 0,13.7,1 - 1,12.7,2 - 1,9.9,0 - 0,9.0
2026-06-14 01:00 UTC,Haiti,Scotland,53,15.2,22.0,62.9,14.6,22.6,62.8,match,15.0,22.2,62.9,"bookmakers, polymarket_match",polymarket,0 - 2,13.5,0 - 1,12.5,1 - 2,11.5,1 - 1,10.0,0 - 3,8.5
2026-06-14 04:00 UTC,Australia,Turkey,53,18.8,25.7,55.6,,,,winner_fallback,15.7,25.7,58.6,"bookmakers, polymarket_winner",poisson,0 - 1,17.2,0 - 2,13.3,1 - 1,11.2,0 - 0,11.1,1 - 2,8.7
2026-06-14 17:00 UTC,Germany,Curaçao,48,92.1,5.6,2.3,93.6,4.2,2.2,match,92.6,5.2,2.3,"bookmakers, polymarket_match",polymarket,3 - 0,22.4,2 - 0,15.4,1 - 0,9.1,2 - 1,6.3,3 - 1,5.0
2026-06-14 20:00 UTC,Netherlands,Japan,52,47.0,26.9,26.1,46.7,26.6,26.6,match,46.9,26.8,26.3,"bookmakers, polymarket_match",polymarket,1 - 0,11.8,1 - 1,11.8,2 - 1,11.3,2 - 0,10.8,0 - 0,8.4
