feature,xgb_importance
attack_diff,0.10686518
experience_diff,0.10163618
away_wc_finals,0.09991409
away_wc_titles,0.08443078
rank_diff,0.08255301
home_avg_goals_conceded,0.0746121
defense_diff,0.07403582
away_avg_goals_scored,0.07251135
home_fifa_rank,0.0492191
title_diff,0.047494877
home_avg_goals_scored,0.04366373
away_fifa_rank,0.041759342
stage_weight,0.039979644
away_avg_goals_conceded,0.03069688
home_wc_titles,0.029133255
home_wc_finals,0.021494687
avg_home_prob,0.0
avg_draw_prob,0.0
avg_away_prob,0.0
