home_team,away_team,stage,result,home_fifa_rank,home_wc_titles,home_wc_finals,home_avg_goals_scored,home_avg_goals_conceded,away_fifa_rank,away_wc_titles,away_wc_finals,away_avg_goals_scored,away_avg_goals_conceded,rank_diff,title_diff,attack_diff,defense_diff,experience_diff,stage_weight,avg_home_prob,avg_draw_prob,avg_away_prob,target
Qatar,Ecuador,group,away,60,0,0,1.0,1.5,60,0,0,1.0,1.5,0,0,0.0,0.0,0,1,0.4,0.25,0.35,2
England,Iran,group,home,4,1,1,1.5,1.3,60,0,0,1.0,1.5,-56,1,0.5,0.19999999999999996,1,1,0.4,0.25,0.35,0
Netherlands,Senegal,group,home,7,0,3,1.8,1.1,20,0,0,1.2,1.4,-13,0,0.6000000000000001,0.2999999999999998,3,1,0.4,0.25,0.35,0
USA,Wales,group,draw,16,0,0,1.2,1.5,60,0,0,1.0,1.5,-44,0,0.19999999999999996,0.0,0,1,0.4,0.25,0.35,1
Argentina,Saudi Arabia,group,away,1,3,6,2.1,1.2,60,0,0,1.0,1.5,-59,3,1.1,0.30000000000000004,6,1,0.4,0.25,0.35,2
France,Australia,group,home,2,2,3,1.9,1.1,25,0,0,1.1,1.5,-23,2,0.7999999999999998,0.3999999999999999,3,1,0.4,0.25,0.35,0
Germany,Japan,group,away,12,4,8,2.0,1.2,15,0,0,1.3,1.3,-3,4,0.7,0.10000000000000009,8,1,0.4,0.25,0.35,2
Spain,Costa Rica,group,home,8,1,1,1.7,0.9,60,0,0,1.0,1.5,-52,1,0.7,0.6,1,1,0.4,0.25,0.35,0
Brazil,Serbia,group,home,5,5,7,2.3,1.0,60,0,0,1.0,1.5,-55,5,1.2999999999999998,0.5,7,1,0.4,0.25,0.35,0
Portugal,Ghana,group,home,6,0,0,1.6,1.2,60,0,0,1.0,1.5,-54,0,0.6000000000000001,0.30000000000000004,0,1,0.4,0.25,0.35,0
Netherlands,USA,r16,home,7,0,3,1.8,1.1,16,0,0,1.2,1.5,-9,0,0.6000000000000001,0.3999999999999999,3,2,0.4,0.25,0.35,0
Argentina,Australia,r16,home,1,3,6,2.1,1.2,25,0,0,1.1,1.5,-24,3,1.0,0.30000000000000004,6,2,0.4,0.25,0.35,0
France,Poland,r16,home,2,2,3,1.9,1.1,60,0,0,1.0,1.5,-58,2,0.8999999999999999,0.3999999999999999,3,2,0.4,0.25,0.35,0
England,Senegal,r16,home,4,1,1,1.5,1.3,20,0,0,1.2,1.4,-16,1,0.30000000000000004,0.09999999999999987,1,2,0.4,0.25,0.35,0
Japan,Croatia,r16,draw,15,0,0,1.3,1.3,10,0,1,1.5,1.1,5,0,-0.19999999999999996,-0.19999999999999996,-1,2,0.4,0.25,0.35,1
Brazil,South Korea,r16,home,5,5,7,2.3,1.0,60,0,0,1.0,1.5,-55,5,1.2999999999999998,0.5,7,2,0.4,0.25,0.35,0
Portugal,Switzerland,r16,home,6,0,0,1.6,1.2,21,0,0,1.4,1.1,-15,0,0.20000000000000018,-0.09999999999999987,0,2,0.4,0.25,0.35,0
Morocco,Spain,r16,draw,14,0,0,1.4,0.8,8,1,1,1.7,0.9,6,-1,-0.30000000000000004,0.09999999999999998,-1,2,0.4,0.25,0.35,1
Croatia,Brazil,qf,draw,10,0,1,1.5,1.1,5,5,7,2.3,1.0,5,-5,-0.7999999999999998,-0.10000000000000009,-6,3,0.4,0.25,0.35,1
Netherlands,Argentina,qf,draw,7,0,3,1.8,1.1,1,3,6,2.1,1.2,6,-3,-0.30000000000000004,0.09999999999999987,-3,3,0.4,0.25,0.35,1
Morocco,Portugal,qf,home,14,0,0,1.4,0.8,6,0,0,1.6,1.2,8,0,-0.20000000000000018,0.3999999999999999,0,3,0.4,0.25,0.35,0
England,France,qf,away,4,1,1,1.5,1.3,2,2,3,1.9,1.1,2,-1,-0.3999999999999999,-0.19999999999999996,-2,3,0.4,0.25,0.35,2
Argentina,Croatia,sf,home,1,3,6,2.1,1.2,10,0,1,1.5,1.1,-9,3,0.6000000000000001,-0.09999999999999987,5,4,0.4,0.25,0.35,0
France,Morocco,sf,home,2,2,3,1.9,1.1,14,0,0,1.4,0.8,-12,2,0.5,-0.30000000000000004,3,4,0.4,0.25,0.35,0
Argentina,France,final,draw,1,3,6,2.1,1.2,2,2,3,1.9,1.1,-1,1,0.20000000000000018,-0.09999999999999987,3,5,0.4,0.25,0.35,1
