team,fifa_rank,group,confederation,wc_titles,wc_finals,avg_goals_scored,avg_goals_conceded
Argentina,1,A,CONMEBOL,3,6,2.1,1.2
France,2,B,UEFA,2,3,1.9,1.1
England,4,C,UEFA,1,1,1.5,1.3
Brazil,5,D,CONMEBOL,5,7,2.3,1.0
Portugal,6,E,UEFA,0,0,1.6,1.2
Spain,8,F,UEFA,1,1,1.7,0.9
Netherlands,7,G,UEFA,0,3,1.8,1.1
Germany,12,H,UEFA,4,8,2.0,1.2
USA,16,A,CONCACAF,0,0,1.2,1.5
Mexico,17,B,CONCACAF,0,0,1.3,1.4
Canada,47,C,CONCACAF,0,0,0.8,1.8
Morocco,14,D,CAF,0,0,1.4,0.8
Japan,15,E,AFC,0,0,1.3,1.3
Senegal,20,F,CAF,0,0,1.2,1.4
Australia,25,G,AFC,0,0,1.1,1.5
Croatia,10,H,UEFA,0,1,1.5,1.1
Uruguay,19,A,CONMEBOL,2,2,1.6,1.2
Belgium,3,B,UEFA,0,0,1.7,1.2
Switzerland,21,C,UEFA,0,0,1.4,1.1
Colombia,11,D,CONMEBOL,0,0,1.5,1.3
