home,away,home_goals,away_goals,stage,result
Qatar,Ecuador,0,2,group,away
England,Iran,6,2,group,home
Netherlands,Senegal,2,0,group,home
USA,Wales,1,1,group,draw
Argentina,Saudi Arabia,1,2,group,away
France,Australia,4,1,group,home
Germany,Japan,1,2,group,away
Spain,Costa Rica,7,0,group,home
Brazil,Serbia,2,0,group,home
Portugal,Ghana,3,2,group,home
Netherlands,USA,3,1,r16,home
Argentina,Australia,2,1,r16,home
France,Poland,3,1,r16,home
England,Senegal,3,0,r16,home
Japan,Croatia,1,1,r16,draw
Brazil,South Korea,4,1,r16,home
Portugal,Switzerland,6,1,r16,home
Morocco,Spain,0,0,r16,draw
Croatia,Brazil,1,1,qf,draw
Netherlands,Argentina,2,2,qf,draw
Morocco,Portugal,1,0,qf,home
England,France,1,2,qf,away
Argentina,Croatia,3,0,sf,home
France,Morocco,2,0,sf,home
Argentina,France,3,3,final,draw
